2,5,11,8,5,16,1,4,2,9,1,3,18,20,18
9,5,15,13,17,19,2,9,14,19,20,14,1,9,16
7,13,7,17,10,8,16,3,5,7,13,19,19,12,9
5,1,10,11,1,19,3,8,14,10,14,3,12,15,17
17,1,1,2,16,8,2,5,14,19,3,16,10,10,8
10,19,13,11,9,4,7,12,6,13,4,15,4,3,19
4,13,6,3,6,7,8,2,10,8,12,3,15,15,6
14,19,16,3,18,1,11,5,15,14,5,5,2,19,12
2,20,6,14,3,8,17,7,20,19,3,10,12,2,3
8,12,3,19,11,2,8,20,8,11,3,13,6,5,12
5,14,16,11,1,14,9,10,9,1,3,2,6,17,15
17,4,20,17,7,14,7,20,19,3,14,10,19,17,10
13,7,12,13,13,4,12,17,10,19,3,15,18,7,15
10,5,8,4,16,1,7,19,14,8,9,9,5,9,8
9,13,19,13,4,8,2,1,13,13,6,4,8,11,13
